trial_nr,word,wordstatus,response,rt,error
1,mensible,0,0,2.9924479999999996,0
2,scornful,1,0,2.2644459999999995,1
3,stoutly,1,1,1.4398330000000001,0
4,ablaze,1,1,3.389655000000001,0
5,kermshaw,0,0,1.1820749999999975,0
6,moonlit,1,1,1.9684850000000012,0
7,lofty,1,1,1.575802999999997,0
8,hurricane,1,1,0.7852050000000013,0
9,flaw,1,1,0.8707080000000005,0
10,alberation,0,0,5.069102000000001,0
11,unkempt,1,0,2.225910000000006,1
12,breeding,1,1,0.7723569999999995,0
13,festivity,1,1,1.0427520000000001,0
14,screech,1,0,1.1700930000000014,1
15,savoury,1,0,1.5914789999999996,1
16,plaudate,0,0,2.455489,0
17,shin,1,0,2.484408000000002,1
18,fluid,1,1,0.6549040000000019,0
19,spaunch,0,1,1.0849839999999986,1
20,allied,1,1,1.0643740000000008,0
21,slain,1,0,0.9062479999999979,1
22,recipient,1,1,0.6526070000000033,0
23,exprate,0,0,1.0184250000000006,0
24,eloquence,1,1,1.123277999999999,0
25,cleanliness,1,1,2.0767859999999985,0
26,dispatch,1,1,0.7067269999999937,0
27,rebondicate,0,0,1.448442,0
28,ingenious,1,1,0.8653690000000012,0
29,bewitch,1,1,1.1695640000000012,0
30,skave,0,0,1.031833000000006,0
31,plaintively,1,1,0.6943789999999979,0
32,kilp,0,0,1.0533099999999962,0
33,interfate,0,0,1.1191900000000032,0
34,hasty,1,1,1.2008749999999964,0
35,lengthy,1,1,0.7580799999999925,0
36,fray,1,0,0.8184880000000021,1
37,crumper,0,0,1.0175210000000021,0
38,upkeep,1,1,1.4024360000000087,0
39,majestic,1,1,0.9120240000000024,0
40,magrity,0,0,1.341969000000006,0
41,nourishment,1,1,1.3862429999999932,0
42,abergy,0,0,1.0716180000000008,0
43,proom,0,0,1.9380610000000047,0
44,turmoil,1,1,3.6846280000000036,0
45,carbohydrate,1,1,1.1450689999999923,0
46,scholar,1,1,0.7379999999999995,0
47,turtle,1,1,0.4870679999999936,0
48,fellick,0,0,3.0973630000000014,0
49,destription,0,0,1.1915010000000024,0
50,cylinder,1,1,0.7407299999999992,0
51,censorship,1,1,3.1074059999999974,0
52,celestial,1,0,1.8773039999999952,1
53,rascal,1,1,1.109923000000009,0
54,purrage,0,0,0.8248949999999979,0
55,pulsh,0,0,1.1712009999999964,0
56,muddy,1,1,0.7238439999999997,0
57,quirty,0,1,1.0559280000000086,1
58,pudour,0,0,0.8447780000000051,0
59,listless,1,1,1.489220000000003,0
60,wrought,1,1,0.8945250000000016,0
